model,learning_rate,gamma,batch_size,buffer_size,total_reward
dqn_lr0.001_gamma0.9_bs32_buf20000,0.001,0.9,32,20000,-159.9999237060547
dqn_lr0.001_gamma0.9_bs32_buf50000,0.001,0.9,32,50000,-109.99980163574219
dqn_lr0.001_gamma0.9_bs64_buf20000,0.001,0.9,64,20000,-129.99986267089844
dqn_lr0.001_gamma0.9_bs64_buf50000,0.001,0.9,64,50000,-180.0000762939453
dqn_lr0.001_gamma0.95_bs32_buf20000,0.001,0.95,32,20000,-79.99987030029297
dqn_lr0.001_gamma0.95_bs32_buf50000,0.001,0.95,32,50000,-109.99977111816406
dqn_lr0.001_gamma0.95_bs64_buf20000,0.001,0.95,64,20000,-150.00006103515625
dqn_lr0.001_gamma0.95_bs64_buf50000,0.001,0.95,64,50000,-109.99976348876953
dqn_lr0.001_gamma0.99_bs32_buf20000,0.001,0.99,32,20000,-89.99988555908203
dqn_lr0.001_gamma0.99_bs32_buf50000,0.001,0.99,32,50000,-150.00001525878906
dqn_lr0.001_gamma0.99_bs64_buf20000,0.001,0.99,64,20000,-74.99982452392578
dqn_lr0.001_gamma0.99_bs64_buf50000,0.001,0.99,64,50000,-124.99977111816406
dqn_lr0.0005_gamma0.9_bs32_buf20000,0.0005,0.9,32,20000,-129.99984741210938
dqn_lr0.0005_gamma0.9_bs32_buf50000,0.0005,0.9,32,50000,-170.0001220703125
dqn_lr0.0005_gamma0.9_bs64_buf20000,0.0005,0.9,64,20000,-109.99991607666016
dqn_lr0.0005_gamma0.9_bs64_buf50000,0.0005,0.9,64,50000,-190.0003662109375
dqn_lr0.0005_gamma0.95_bs32_buf20000,0.0005,0.95,32,20000,-99.99977111816406
dqn_lr0.0005_gamma0.95_bs32_buf50000,0.0005,0.95,32,50000,-89.99988555908203
dqn_lr0.0005_gamma0.95_bs64_buf20000,0.0005,0.95,64,20000,-79.99988555908203
dqn_lr0.0005_gamma0.95_bs64_buf50000,0.0005,0.95,64,50000,-160.0000762939453
dqn_lr0.0005_gamma0.99_bs32_buf20000,0.0005,0.99,32,20000,-109.99980926513672
dqn_lr0.0005_gamma0.99_bs32_buf50000,0.0005,0.99,32,50000,-139.99990844726562
dqn_lr0.0005_gamma0.99_bs64_buf20000,0.0005,0.99,64,20000,-119.999755859375
dqn_lr0.0005_gamma0.99_bs64_buf50000,0.0005,0.99,64,50000,-140.0000457763672
dqn_lr0.0001_gamma0.9_bs32_buf20000,0.0001,0.9,32,20000,-89.99983215332031
dqn_lr0.0001_gamma0.9_bs32_buf50000,0.0001,0.9,32,50000,-139.99986267089844
dqn_lr0.0001_gamma0.9_bs64_buf20000,0.0001,0.9,64,20000,-74.99983215332031
dqn_lr0.0001_gamma0.9_bs64_buf50000,0.0001,0.9,64,50000,-69.99992370605469
dqn_lr0.0001_gamma0.95_bs32_buf20000,0.0001,0.95,32,20000,-160.00009155273438
dqn_lr0.0001_gamma0.95_bs32_buf50000,0.0001,0.95,32,50000,-109.9997787475586
dqn_lr0.0001_gamma0.95_bs64_buf20000,0.0001,0.95,64,20000,-160.00003051757812
dqn_lr0.0001_gamma0.95_bs64_buf50000,0.0001,0.95,64,50000,-139.99996948242188
dqn_lr0.0001_gamma0.99_bs32_buf20000,0.0001,0.99,32,20000,-69.99981689453125
dqn_lr0.0001_gamma0.99_bs32_buf50000,0.0001,0.99,32,50000,-94.99980926513672
dqn_lr0.0001_gamma0.99_bs64_buf20000,0.0001,0.99,64,20000,-59.999794006347656
dqn_lr0.0001_gamma0.99_bs64_buf50000,0.0001,0.99,64,50000,-129.99989318847656
