model,learning_rate,gamma,n_steps,batch_size,total_reward
ppo_lr0.0001_gamma0.9_n512_bs32,0.0001,0.9,512,32,-89.99981
ppo_lr0.0001_gamma0.9_n512_bs64,0.0001,0.9,512,64,-104.99973
ppo_lr0.0001_gamma0.9_n1024_bs32,0.0001,0.9,1024,32,-144.99988
ppo_lr0.0001_gamma0.9_n1024_bs64,0.0001,0.9,1024,64,-124.999756
ppo_lr0.0001_gamma0.9_n2048_bs32,0.0001,0.9,2048,32,-129.99986
ppo_lr0.0001_gamma0.9_n2048_bs64,0.0001,0.9,2048,64,-119.99974
ppo_lr0.0001_gamma0.95_n512_bs32,0.0001,0.95,512,32,-79.999855
ppo_lr0.0001_gamma0.95_n512_bs64,0.0001,0.95,512,64,-109.99978
ppo_lr0.0001_gamma0.95_n1024_bs32,0.0001,0.95,1024,32,-119.99984
ppo_lr0.0001_gamma0.95_n1024_bs64,0.0001,0.95,1024,64,-114.999886
ppo_lr0.0001_gamma0.95_n2048_bs32,0.0001,0.95,2048,32,-104.99975
ppo_lr0.0001_gamma0.95_n2048_bs64,0.0001,0.95,2048,64,-180.0002
ppo_lr0.0001_gamma0.99_n512_bs32,0.0001,0.99,512,32,-139.9999
ppo_lr0.0001_gamma0.99_n512_bs64,0.0001,0.99,512,64,-134.99979
ppo_lr0.0001_gamma0.99_n1024_bs32,0.0001,0.99,1024,32,-69.99973
ppo_lr0.0001_gamma0.99_n1024_bs64,0.0001,0.99,1024,64,-104.99978
ppo_lr0.0001_gamma0.99_n2048_bs32,0.0001,0.99,2048,32,-155.00006
ppo_lr0.0001_gamma0.99_n2048_bs64,0.0001,0.99,2048,64,-170.00002
ppo_lr0.0003_gamma0.9_n512_bs32,0.0003,0.9,512,32,-159.99995
ppo_lr0.0003_gamma0.9_n512_bs64,0.0003,0.9,512,64,-99.99982
ppo_lr0.0003_gamma0.9_n1024_bs32,0.0003,0.9,1024,32,-134.9998
ppo_lr0.0003_gamma0.9_n1024_bs64,0.0003,0.9,1024,64,-129.99998
ppo_lr0.0003_gamma0.9_n2048_bs32,0.0003,0.9,2048,32,-114.999794
ppo_lr0.0003_gamma0.9_n2048_bs64,0.0003,0.9,2048,64,-170.00029
ppo_lr0.0003_gamma0.95_n512_bs32,0.0003,0.95,512,32,-124.99976
ppo_lr0.0003_gamma0.95_n512_bs64,0.0003,0.95,512,64,-139.99985
ppo_lr0.0003_gamma0.95_n1024_bs32,0.0003,0.95,1024,32,-164.99998
ppo_lr0.0003_gamma0.95_n1024_bs64,0.0003,0.95,1024,64,-79.99991
ppo_lr0.0003_gamma0.95_n2048_bs32,0.0003,0.95,2048,32,-160.00026
ppo_lr0.0003_gamma0.95_n2048_bs64,0.0003,0.95,2048,64,-129.9999
ppo_lr0.0003_gamma0.99_n512_bs32,0.0003,0.99,512,32,-119.999756
ppo_lr0.0003_gamma0.99_n512_bs64,0.0003,0.99,512,64,-104.99982
ppo_lr0.0003_gamma0.99_n1024_bs32,0.0003,0.99,1024,32,-44.99994
ppo_lr0.0003_gamma0.99_n1024_bs64,0.0003,0.99,1024,64,-119.999756
ppo_lr0.0003_gamma0.99_n2048_bs32,0.0003,0.99,2048,32,-144.99997
ppo_lr0.0003_gamma0.99_n2048_bs64,0.0003,0.99,2048,64,-104.99992
ppo_lr0.0005_gamma0.9_n512_bs32,0.0005,0.9,512,32,-134.99982
ppo_lr0.0005_gamma0.9_n512_bs64,0.0005,0.9,512,64,-154.99994
ppo_lr0.0005_gamma0.9_n1024_bs32,0.0005,0.9,1024,32,-159.9999
ppo_lr0.0005_gamma0.9_n1024_bs64,0.0005,0.9,1024,64,-150.00002
ppo_lr0.0005_gamma0.9_n2048_bs32,0.0005,0.9,2048,32,-84.99982
ppo_lr0.0005_gamma0.9_n2048_bs64,0.0005,0.9,2048,64,-159.99991
ppo_lr0.0005_gamma0.95_n512_bs32,0.0005,0.95,512,32,-170.00029
ppo_lr0.0005_gamma0.95_n512_bs64,0.0005,0.95,512,64,-119.999825
ppo_lr0.0005_gamma0.95_n1024_bs32,0.0005,0.95,1024,32,-104.999794
ppo_lr0.0005_gamma0.95_n1024_bs64,0.0005,0.95,1024,64,-119.99975
ppo_lr0.0005_gamma0.95_n2048_bs32,0.0005,0.95,2048,32,-109.99991
ppo_lr0.0005_gamma0.95_n2048_bs64,0.0005,0.95,2048,64,-180.00024
ppo_lr0.0005_gamma0.99_n512_bs32,0.0005,0.99,512,32,-145.00006
ppo_lr0.0005_gamma0.99_n512_bs64,0.0005,0.99,512,64,-139.99995
ppo_lr0.0005_gamma0.99_n1024_bs32,0.0005,0.99,1024,32,-99.99985
ppo_lr0.0005_gamma0.99_n1024_bs64,0.0005,0.99,1024,64,-94.99982
ppo_lr0.0005_gamma0.99_n2048_bs32,0.0005,0.99,2048,32,-129.99985
ppo_lr0.0005_gamma0.99_n2048_bs64,0.0005,0.99,2048,64,-170.00035
